Timestamp,Transaction Type,Asset,Quantity Transacted,Spot Price Currency,Spot Price at Transaction,Subtotal,Total (inclusive of fees and/or spread),Fees and/or Spread
2024-01-24 15:15:59 UTC,Advance Trade Buy,ETH,0.46826492,USD,2234.36,1046.27,1052.03,5.76
2024-01-24 15:15:59 UTC,Advance Trade Buy,ETH,0.10987036,USD,2234.38,245.49,246.84,1.35
2024-01-24 15:15:59 UTC,Advance Trade Buy,ETH,0.4,USD,2234.37,893.75,898.66,4.91
2024-01-24 15:15:59 UTC,Advance Trade Buy,ETH,0.13427393,USD,2234.38,300.02,301.67,1.65
2024-01-24 15:15:58 UTC,Advance Trade Buy,ETH,0.00000689,USD,2234.21,0.02,0.02,0
2024-01-24 15:13:44 UTC,Deposit,USD,2500,USD,1,2500,2500,0
2024-01-17 12:00:30 UTC,Advance Trade Buy,BTC,0.0000001055475855,USD,42640.01,0,0,0
2024-01-17 12:00:30 UTC,Advance Trade Buy,BTC,0.00011768,USD,42640.01,5.02,5.05,0.03
2024-01-17 12:00:19 UTC,Advance Trade Buy,BTC,0.05829425,USD,42650,2486.25,2494.95,8.7
2024-01-17 11:55:10 UTC,Deposit,USD,2500,USD,1,2500,2500,0
2023-12-26 01:26:41 UTC,Send,BTC,0.23339014,USD,43535.5,10160.76,10160.76,0
2023-12-20 18:13:18 UTC,Advance Trade Buy,BTC,0.00001814,USD,44083.39,0.8,0.81,0.01
2023-12-20 18:13:18 UTC,Advance Trade Buy,BTC,0.04499033,USD,44083.39,1983.33,1999.19,15.86
2023-12-20 18:13:18 UTC,Advance Trade Buy,BTC,0.0000000237688999,USD,44083.39,0,0,0
2023-12-20 18:12:02 UTC,Deposit,USD,2000,USD,1,2000,2000,0
2023-10-16 04:08:07 UTC,Advance Trade Buy,ETH,0.00051187,USD,1562.26,0.8,0.81,0.01
2023-10-16 04:08:07 UTC,Advance Trade Buy,ETH,0.0000004174242342,USD,1562.26,0,0,0
2023-10-16 04:08:06 UTC,Advance Trade Buy,ETH,1.26952406,USD,1562.26,1983.33,1999.19,15.86
2023-10-16 03:58:35 UTC,Send,ETH,6.20094588,USD,1563.35,9694.22,9694.22,0
2023-10-16 03:45:36 UTC,Deposit,USD,2000,USD,1,2000,2000,0
2023-09-01 17:29:27 UTC,Advance Trade Buy,ETH,0.00000334639485,USD,1606.64,0.01,0.01,0
2023-09-01 17:29:27 UTC,Advance Trade Buy,ETH,0.00000622,USD,1606.64,0.01,0.01,0
2023-09-01 17:29:26 UTC,Advance Trade Buy,ETH,0.01265489,USD,1606.64,20.33,20.49,0.16
2023-09-01 17:29:06 UTC,Advance Trade Buy,ETH,1.00000676,USD,1605,1605.01,1614.64,9.63
2023-09-01 17:29:05 UTC,Advance Trade Buy,ETH,1.46677,USD,1605,2354.17,2368.29,14.12
2023-09-01 17:29:05 UTC,Advance Trade Buy,ETH,1,USD,1605,1605,1614.63,9.63
2023-09-01 17:29:04 UTC,Advance Trade Buy,ETH,1.5,USD,1605,2407.5,2421.95,14.45
2023-09-01 17:29:03 UTC,Advance Trade Buy,ETH,1.22150466,USD,1605,1960.51,1972.28,11.77
2023-09-01 17:27:20 UTC,Advance Trade Buy,BTC,0.23313748,USD,25530,5952,5987.71,35.71
2023-09-01 17:25:35 UTC,Deposit,USD,16000,USD,1,16000,16000,0
2023-08-26 17:50:44 UTC,Withdrawal,USD,254.26,USD,1,254.26,254.26,0
2023-08-26 17:49:24 UTC,Advance Trade Sell,BTC,0.0098569,USD,26003.68,256.32,254.27,-2.05
2023-08-26 17:35:29 UTC,Receive,BTC,0.0098569,USD,26007.87,256.36,256.36,0
2023-08-14 20:54:59 UTC,Withdrawal,USD,397.72,USD,1,397.72,397.72,0
2023-08-14 20:54:03 UTC,Advance Trade Sell,ETH,0.217,USD,1842.93,399.92,397.72,-2.2
2023-08-14 20:50:54 UTC,Receive,ETH,0.217,USD,1842.94,399.92,399.92,0
2023-07-29 20:41:55 UTC,Send,ETH,1.20943259,USD,1884.04,2278.61,2278.61,0
2023-07-29 20:35:07 UTC,Send,ETH,0.236407,USD,1884.09,445.41,445.41,0
2023-07-21 20:30:13 UTC,Advance Trade Buy,ETH,0.00291297,USD,1894.21,5.52,5.55,0.03
2023-07-21 20:30:13 UTC,Advance Trade Buy,ETH,0.000004784085451,USD,1894.21,0.01,0.01,0
2023-07-21 20:29:51 UTC,Advance Trade Buy,ETH,0.38348504,USD,1894.42,726.48,729.39,2.91
2023-07-21 20:29:50 UTC,Advance Trade Buy,ETH,0.00263932,USD,1894.42,5,5.02,0.02
2023-07-21 20:29:50 UTC,Advance Trade Buy,ETH,0.00943824,USD,1894.42,17.88,17.95,0.07
2023-07-21 20:29:44 UTC,Advance Trade Buy,ETH,1.02973652,USD,1894.42,1950.75,1958.56,7.81
2023-07-21 20:29:44 UTC,Advance Trade Buy,ETH,0.01762272,USD,1894.42,33.38,33.52,0.14
2023-07-21 20:26:40 UTC,Deposit,USD,2750,USD,1,2750,2750,0
2023-06-10 07:05:29 UTC,Withdrawal,USD,509.73,USD,1,509.73,509.73,0
2023-06-10 07:04:02 UTC,Advance Trade Sell,BTC,0.01507553,USD,25543.77,385.09,382.78,-2.31
2023-06-10 07:04:02 UTC,Advance Trade Sell,BTC,0.005,USD,25543.78,127.72,126.95,-0.77
2023-06-10 06:32:30 UTC,Receive,BTC,0.02007553,USD,25632.91,514.59,514.59,0
2023-06-03 01:14:03 UTC,Withdrawal,USD,358.08,USD,1,358.08,358.08,0
2023-06-03 01:12:53 UTC,Advance Trade Sell,ETH,0.03160221,USD,1906.3,60.24,59.88,-0.36
2023-06-03 01:12:53 UTC,Advance Trade Sell,ETH,0.157373,USD,1906.3,300,298.2,-1.8
2023-06-03 01:08:15 UTC,Receive,ETH,0.1889752109,USD,1904.47,359.9,359.9,0
2023-05-25 05:53:24 UTC,Withdrawal,USD,595.51,USD,1,595.51,595.51,0
2023-05-25 05:52:29 UTC,Advance Trade Sell,BTC,0.01837845,USD,26235,482.16,480.23,-1.93
2023-05-25 05:52:29 UTC,Advance Trade Sell,BTC,0.00075091,USD,26235,19.7,19.62,-0.08
2023-05-25 05:52:25 UTC,Advance Trade Sell,BTC,0.00366078,USD,26235,96.04,95.66,-0.38
2023-05-25 05:16:46 UTC,Receive,BTC,0.02279014,USD,26230.01,597.79,597.79,0
2023-05-18 23:51:53 UTC,Withdrawal,USD,547.49,USD,1,547.49,547.49,0
2023-05-18 23:50:47 UTC,Advance Trade Sell,BTC,0.02046854,USD,26855,549.68,547.48,-2.2
2023-05-18 23:17:08 UTC,Receive,BTC,0.02046854,USD,26858.86,549.76,549.76,0
2023-04-29 21:56:02 UTC,Withdrawal,USD,2032.37,USD,1,2032.37,2032.37,0
2023-04-29 21:55:15 UTC,Advance Trade Sell,BTC,0.00471965,USD,29234,137.97,137.42,-0.55
2023-04-29 21:55:15 UTC,Advance Trade Sell,BTC,0.00080018,USD,29234,23.39,23.3,-0.09
2023-04-29 21:55:13 UTC,Advance Trade Sell,BTC,0.00030666,USD,29234,8.96,8.93,-0.03
2023-04-29 21:55:13 UTC,Advance Trade Sell,BTC,0.00007837,USD,29234,2.29,2.28,-0.01
2023-04-29 21:55:13 UTC,Advance Trade Sell,BTC,0.00085089,USD,29234,24.87,24.78,-0.09
2023-04-29 21:55:12 UTC,Advance Trade Sell,BTC,0.00148286,USD,29234,43.35,43.18,-0.17
2023-04-29 21:55:12 UTC,Advance Trade Sell,BTC,0.00030666,USD,29234,8.96,8.93,-0.03
2023-04-29 21:55:12 UTC,Advance Trade Sell,BTC,0.00330185,USD,29234,96.53,96.14,-0.39
2023-04-29 21:55:12 UTC,Advance Trade Sell,BTC,0.00319752,USD,29234,93.48,93.1,-0.38
2023-04-29 21:55:11 UTC,Advance Trade Sell,BTC,0.00029987,USD,29234,8.77,8.73,-0.04
2023-04-29 21:55:11 UTC,Advance Trade Sell,BTC,0.00141586,USD,29234,41.39,41.23,-0.16
2023-04-29 21:55:11 UTC,Advance Trade Sell,BTC,0.00063,USD,29234,18.42,18.34,-0.08
2023-04-29 21:55:10 UTC,Advance Trade Sell,BTC,0.00360012,USD,29234,105.25,104.82,-0.43
2023-04-29 21:55:10 UTC,Advance Trade Sell,BTC,0.00000068,USD,29234,0.02,0.02,0
2023-04-29 21:55:10 UTC,Advance Trade Sell,BTC,0.00169939,USD,29234,49.68,49.48,-0.2
2023-04-29 21:55:09 UTC,Advance Trade Sell,BTC,0.00879263,USD,29234,257.04,256.02,-1.02
2023-04-29 21:55:06 UTC,Advance Trade Sell,BTC,0.00026955,USD,29234,7.88,7.85,-0.03
2023-04-29 21:55:05 UTC,Advance Trade Sell,BTC,0.0004552,USD,29234,13.31,13.25,-0.06
2023-04-29 21:55:05 UTC,Advance Trade Sell,BTC,0.0000383,USD,29234,1.12,1.12,0
2023-04-29 21:55:04 UTC,Advance Trade Sell,BTC,0.02695524,USD,29234,788.01,784.86,-3.15
2023-04-29 21:55:04 UTC,Advance Trade Sell,BTC,0.0048,USD,29234,140.32,139.76,-0.56
2023-04-29 21:54:59 UTC,Advance Trade Sell,BTC,0.00579852,USD,29234,169.51,168.84,-0.67
2023-04-29 21:30:41 UTC,Receive,BTC,0.0698,USD,29242.89,2041.15,2041.15,0
2023-04-24 18:10:18 UTC,Withdrawal,USD,821.55,USD,1,821.55,821.55,0
2023-04-24 18:08:05 UTC,Advance Trade Sell,ETH,0.45,USD,1833,824.85,821.55,-3.3
2023-04-24 18:06:22 UTC,Receive,ETH,0.45,USD,1834.71,825.62,825.62,0
2023-03-23 19:13:11 UTC,Withdrawal,USD,2669.49,USD,1,2669.49,2669.49,0
2023-03-23 19:12:28 UTC,Advance Trade Sell,BTC,0.00169163,USD,27950,47.28,47.09,-0.19
2023-03-23 19:12:28 UTC,Advance Trade Sell,BTC,0.09266224,USD,27950,2589.91,2579.55,-10.36
2023-03-23 19:12:26 UTC,Advance Trade Sell,BTC,0.00138037,USD,27950,38.58,38.43,-0.15
2023-03-23 19:12:26 UTC,Advance Trade Sell,BTC,0.00015909,USD,27950,4.45,4.43,-0.02
2023-03-23 18:26:03 UTC,Receive,BTC,0.09571333,USD,28221.5,2701.17,2701.17,0
2023-02-10 16:55:29 UTC,Withdrawal,USD,1970.69,USD,1,1970.69,1970.69,0
2023-02-10 16:54:06 UTC,Advance Trade Sell,ETH,1.3,USD,1522,1978.6,1970.69,-7.91
2023-02-10 16:51:02 UTC,Receive,ETH,1.3,USD,1521.25,1977.63,1977.63,0
2023-01-14 21:07:34 UTC,Withdrawal,USD,1524.05,USD,1,1524.05,1524.05,0
2023-01-14 21:05:35 UTC,Advance Trade Sell,ETH,0.60868586,USD,1533.25,933.27,927.67,-5.6
2023-01-14 21:05:35 UTC,Advance Trade Sell,ETH,0.19565707,USD,1533.25,299.99,298.19,-1.8
2023-01-14 21:05:35 UTC,Advance Trade Sell,ETH,0.19565707,USD,1533.25,299.99,298.19,-1.8
2023-01-14 21:01:47 UTC,Receive,ETH,1,USD,1535.7,1535.7,1535.7,0
2022-12-28 20:08:13 UTC,Withdrawal,USD,1186.73,USD,1,1186.73,1186.73,0
2022-12-28 20:06:54 UTC,Advance Trade Sell,ETH,1,USD,1191.5,1191.5,1186.73,-4.77
2022-12-28 20:05:08 UTC,Receive,ETH,1,USD,1191.48,1191.48,1191.48,0
2022-12-02 03:31:57 UTC,Receive,XLM,0.8914359,USD,0.09,0.08,0.08,0
2022-12-02 03:31:47 UTC,Receive,USDC,0.000007,USD,1,0,0,0
2022-12-02 03:31:37 UTC,Receive,EOS,0.0324,USD,0.93,0.03,0.03,0
2022-12-02 03:31:32 UTC,Receive,DAI,0.0000099,USD,1,0,0,0
2022-12-02 03:31:23 UTC,Receive,BAT,0.29714229,USD,0.23,0.07,0.07,0